J       CT       CP       eta
0.376   0.0876   0.0651   0.505
0.397   0.0848   0.0647   0.520
0.423   0.0818   0.0645   0.536
0.439   0.0791   0.0638   0.544
0.461   0.0760   0.0633   0.554
0.484   0.0726   0.0625   0.562
0.505   0.0692   0.0616   0.568
0.532   0.0651   0.0606   0.572
0.553   0.0619   0.0597   0.574
0.573   0.0587   0.0587   0.574
0.597   0.0544   0.0572   0.568
0.617   0.0509   0.0559   0.562
0.641   0.0462   0.0541   0.548
0.661   0.0424   0.0526   0.533
0.685   0.0376   0.0509   0.506
0.700   0.0342   0.0496   0.483
0.731   0.0270   0.0469   0.421
0.749   0.0224   0.0453   0.370
0.774   0.0155   0.0431   0.277
0.793   0.0101   0.0414   0.193
0.819   0.0027   0.0387   0.057
0.837   -0.0018   0.0371   -0.040
0.862   -0.0077   0.0351   -0.189
0.880   -0.0120   0.0336   -0.314
