J       CT       CP       eta
0.186   0.1223   0.1059   0.215
0.237   0.1207   0.1034   0.277
0.288   0.1208   0.1038   0.336
0.333   0.1189   0.1037   0.381
0.384   0.1137   0.1049   0.416
0.438   0.1073   0.1067   0.441
0.484   0.1000   0.1065   0.455
0.536   0.0902   0.1063   0.455
0.581   0.0805   0.1048   0.447
0.638   0.0619   0.0974   0.405
0.683   0.0512   0.0926   0.378
0.738   0.0365   0.0868   0.310
0.774   0.0281   0.0824   0.263
0.839   0.0114   0.0754   0.127
0.877   0.0024   0.0711   0.030
0.928   -0.0108   0.0639   -0.157
0.964   -0.0194   0.0605   -0.309
