J       CT       CP       eta
0.117   0.1303   0.0807   0.189
0.148   0.1286   0.0806   0.236
0.175   0.1267   0.0804   0.276
0.205   0.1252   0.0803   0.320
0.233   0.1233   0.0800   0.359
0.264   0.1214   0.0803   0.399
0.293   0.1186   0.0801   0.433
0.322   0.1158   0.0800   0.466
0.347   0.1138   0.0802   0.493
0.378   0.1104   0.0800   0.521
0.409   0.1063   0.0797   0.546
0.433   0.1035   0.0797   0.563
0.464   0.0995   0.0796   0.580
0.490   0.0957   0.0792   0.592
0.520   0.0911   0.0786   0.602
0.554   0.0848   0.0776   0.606
0.587   0.0788   0.0762   0.606
