RPM    CT       CP
3069   0.0718   0.0443
3265   0.0750   0.0442
3582   0.0744   0.0437
3846   0.0761   0.0430
4119   0.0753   0.0422
4404   0.0765   0.0407
4685   0.0783   0.0406
4978   0.0792   0.0411
5244   0.0792   0.0408
5547   0.0790   0.0399
5812   0.0798   0.0393
6100   0.0822   0.0402
6369   0.0822   0.0398
6651   0.0834   0.0395
6926   0.0836   0.0392
7203   0.0846   0.0392
