J       CT       CP       eta
0.121   0.0755   0.0374   0.246
0.152   0.0709   0.0369   0.292
0.187   0.0653   0.0362   0.337
0.218   0.0603   0.0354   0.370
0.250   0.0540   0.0342   0.395
0.287   0.0477   0.0327   0.419
0.320   0.0420   0.0312   0.431
0.350   0.0369   0.0297   0.435
0.390   0.0301   0.0276   0.425
0.415   0.0254   0.0258   0.407
0.451   0.0182   0.0233   0.353
0.485   0.0112   0.0209   0.261
0.514   0.0049   0.0185   0.136
0.544   -0.0017   0.0161   -0.058
0.576   -0.0085   0.0133   -0.365
0.612   -0.0166   0.0100   -1.010
0.643   -0.0228   0.0074   -1.986
