J       CT       CP       eta
0.170   0.0973   0.0555   0.299
0.215   0.0899   0.0549   0.352
0.261   0.0808   0.0530   0.398
0.301   0.0748   0.0520   0.433
0.356   0.0650   0.0495   0.468
0.398   0.0571   0.0467   0.486
0.450   0.0482   0.0442   0.492
0.488   0.0416   0.0417   0.487
0.543   0.0309   0.0373   0.450
0.578   0.0248   0.0347   0.413
0.635   0.0126   0.0288   0.278
0.677   0.0036   0.0242   0.100
0.720   -0.0056   0.0196   -0.207
0.769   -0.0173   0.0139   -0.952
0.809   -0.0265   0.0090   -2.373
