J       CT       CP       eta
0.125   0.0884   0.0483   0.230
0.157   0.0865   0.0483   0.281
0.187   0.0833   0.0483   0.323
0.219   0.0794   0.0481   0.362
0.250   0.0752   0.0479   0.393
0.284   0.0702   0.0472   0.422
0.318   0.0648   0.0464   0.444
0.344   0.0606   0.0455   0.459
0.378   0.0554   0.0443   0.473
0.407   0.0499   0.0428   0.475
0.436   0.0451   0.0414   0.476
0.472   0.0381   0.0391   0.460
0.508   0.0308   0.0364   0.430
0.527   0.0268   0.0349   0.405
0.562   0.0196   0.0319   0.345
0.597   0.0123   0.0288   0.254
0.626   0.0058   0.0259   0.141
