J       CT       CP       eta
0.132   0.1069   0.1237   0.114
0.166   0.1055   0.1236   0.142
0.199   0.1041   0.1242   0.167
0.235   0.1022   0.1236   0.195
0.270   0.1006   0.1222   0.223
0.310   0.0984   0.1202   0.254
0.342   0.0959   0.1194   0.275
0.377   0.0939   0.1174   0.302
0.407   0.0922   0.1158   0.324
0.449   0.0890   0.1131   0.354
0.484   0.0864   0.1113   0.376
0.517   0.0836   0.1110   0.389
0.546   0.0806   0.1104   0.399
0.580   0.0771   0.1101   0.406
0.616   0.0735   0.1098   0.412
0.651   0.0690   0.1096   0.410
0.687   0.0639   0.1094   0.402
