J       CT       CP       eta
0.156   0.0687   0.0519   0.206
0.193   0.0643   0.0510   0.243
0.232   0.0590   0.0501   0.274
0.272   0.0543   0.0489   0.301
0.314   0.0481   0.0472   0.320
0.360   0.0426   0.0464   0.331
0.404   0.0356   0.0442   0.325
0.438   0.0306   0.0426   0.315
0.487   0.0216   0.0392   0.268
0.526   0.0145   0.0365   0.208
0.555   0.0083   0.0340   0.136
0.608   -0.0013   0.0308   -0.026
0.649   -0.0095   0.0276   -0.224
0.676   -0.0157   0.0248   -0.430
0.728   -0.0277   0.0198   -1.022
0.768   -0.0380   0.0150   -1.941
0.810   -0.0493   0.0099   -4.053
