J       CT       CP       eta
0.118   0.0884   0.0418   0.250
0.152   0.0845   0.0421   0.305
0.184   0.0805   0.0423   0.350
0.215   0.0759   0.0420   0.389
0.247   0.0712   0.0416   0.422
0.280   0.0659   0.0409   0.451
0.312   0.0604   0.0398   0.474
0.349   0.0535   0.0381   0.489
0.379   0.0477   0.0366   0.495
0.413   0.0415   0.0348   0.492
0.443   0.0336   0.0321   0.464
0.474   0.0286   0.0304   0.445
0.509   0.0207   0.0272   0.387
0.541   0.0138   0.0241   0.309
0.571   0.0068   0.0210   0.184
0.602   -0.0004   0.0177   -0.015
0.634   -0.0086   0.0146   -0.373
