RPM    CT       CP
1993   0.0927   0.0600
2303   0.0939   0.0585
2568   0.0955   0.0579
2820   0.0970   0.0573
3096   0.0994   0.0572
3396   0.1004   0.0567
3650   0.1018   0.0566
3921   0.1039   0.0564
4201   0.1046   0.0560
4462   0.1067   0.0555
4743   0.1075   0.0550
5024   0.1093   0.0547
5301   0.1095   0.0544
5567   0.1103   0.0545
5838   0.1109   0.0546
6116   0.1114   0.0545
