J       CT       CP       eta
0.107   0.0904   0.0399   0.242
0.135   0.0865   0.0397   0.294
0.162   0.0820   0.0392   0.339
0.187   0.0774   0.0385   0.376
0.214   0.0722   0.0376   0.411
0.242   0.0669   0.0365   0.443
0.268   0.0620   0.0354   0.469
0.292   0.0572   0.0342   0.488
0.322   0.0512   0.0328   0.504
0.347   0.0463   0.0314   0.511
0.377   0.0402   0.0298   0.510
0.398   0.0360   0.0286   0.501
0.427   0.0300   0.0269   0.475
0.450   0.0250   0.0255   0.441
0.477   0.0194   0.0238   0.388
0.508   0.0126   0.0218   0.293
0.530   0.0077   0.0203   0.200
