J       CT       CP       eta
0.501   0.0618   0.0618   0.501
0.538   0.0544   0.0600   0.487
0.565   0.0486   0.0579   0.474
0.601   0.0397   0.0542   0.440
0.625   0.0338   0.0519   0.407
0.659   0.0245   0.0480   0.336
0.695   0.0157   0.0439   0.249
0.727   0.0082   0.0399   0.150
0.750   0.0029   0.0373   0.058
0.781   -0.0051   0.0338   -0.119
0.803   -0.0104   0.0307   -0.273
0.848   -0.0215   0.0253   -0.719
0.875   -0.0293   0.0215   -1.189
0.908   -0.0384   0.0168   -2.078
0.939   -0.0471   0.0120   -3.689
0.969   -0.0548   0.0079   -6.726
