J       CT       CP       eta
0.187   0.0971   0.0658   0.276
0.232   0.0933   0.0661   0.327
0.279   0.0876   0.0653   0.374
0.333   0.0811   0.0644   0.419
0.387   0.0735   0.0630   0.451
0.432   0.0671   0.0617   0.470
0.471   0.0614   0.0602   0.480
0.524   0.0526   0.0576   0.478
0.575   0.0436   0.0547   0.458
0.626   0.0336   0.0509   0.412
0.664   0.0261   0.0476   0.364
0.719   0.0141   0.0422   0.241
0.773   0.0011   0.0365   0.024
0.798   -0.0055   0.0335   -0.132
0.857   -0.0226   0.0262   -0.739
0.908   -0.0367   0.0203   -1.647
0.956   -0.0496   0.0148   -3.196
