J       CT       CP       eta
0.093   0.0706   0.0304   0.216
0.119   0.0682   0.0306   0.266
0.141   0.0659   0.0306   0.304
0.163   0.0635   0.0305   0.339
0.188   0.0602   0.0304   0.373
0.212   0.0567   0.0300   0.402
0.235   0.0531   0.0294   0.424
0.256   0.0502   0.0291   0.441
0.283   0.0459   0.0285   0.456
0.304   0.0425   0.0279   0.463
0.328   0.0383   0.0271   0.465
0.347   0.0348   0.0262   0.461
0.369   0.0302   0.0251   0.444
0.396   0.0249   0.0237   0.417
0.418   0.0203   0.0223   0.380
0.440   0.0154   0.0209   0.325
0.463   0.0103   0.0191   0.250
