J       CT       CP       eta
0.106   0.1048   0.0677   0.164
0.130   0.1028   0.0679   0.197
0.157   0.1006   0.0681   0.231
0.186   0.0977   0.0680   0.267
0.211   0.0949   0.0678   0.296
0.240   0.0921   0.0677   0.326
0.266   0.0889   0.0673   0.352
0.290   0.0860   0.0670   0.373
0.320   0.0835   0.0670   0.399
0.342   0.0812   0.0669   0.415
0.368   0.0777   0.0664   0.431
0.399   0.0737   0.0657   0.447
0.420   0.0708   0.0653   0.455
0.446   0.0669   0.0647   0.461
0.471   0.0629   0.0639   0.464
0.502   0.0579   0.0626   0.464
0.528   0.0536   0.0613   0.462
