J       CT       CP       eta
0.104   0.0563   0.0272   0.216
0.132   0.0534   0.0269   0.261
0.156   0.0506   0.0266   0.297
0.187   0.0469   0.0260   0.336
0.213   0.0435   0.0255   0.364
0.238   0.0399   0.0248   0.384
0.263   0.0360   0.0240   0.395
0.289   0.0324   0.0232   0.403
0.317   0.0278   0.0222   0.397
0.341   0.0238   0.0212   0.383
0.367   0.0194   0.0201   0.354
0.396   0.0140   0.0187   0.298
0.421   0.0095   0.0173   0.231
0.450   0.0040   0.0155   0.116
0.476   -0.0009   0.0139   -0.031
0.504   -0.0066   0.0120   -0.278
0.526   -0.0112   0.0103   -0.573
