J       CT       CP       eta
0.104   0.1021   0.0559   0.189
0.131   0.1013   0.0558   0.238
0.157   0.1003   0.0557   0.283
0.182   0.0992   0.0557   0.324
0.208   0.0971   0.0557   0.363
0.237   0.0951   0.0560   0.403
0.264   0.0921   0.0560   0.435
0.290   0.0899   0.0562   0.463
0.313   0.0874   0.0562   0.487
0.344   0.0831   0.0556   0.514
0.368   0.0804   0.0556   0.532
0.390   0.0773   0.0552   0.546
0.419   0.0724   0.0541   0.561
0.445   0.0687   0.0533   0.573
0.470   0.0650   0.0525   0.582
0.494   0.0612   0.0516   0.586
0.525   0.0559   0.0500   0.587
