J       CT       CP       eta
0.100   0.1148   0.0579   0.198
0.126   0.1130   0.0583   0.245
0.151   0.1115   0.0589   0.286
0.178   0.1092   0.0593   0.328
0.205   0.1067   0.0598   0.367
0.235   0.1038   0.0603   0.405
0.260   0.1011   0.0605   0.434
0.287   0.0980   0.0606   0.463
0.314   0.0949   0.0610   0.488
0.340   0.0914   0.0610   0.509
0.368   0.0873   0.0608   0.528
0.394   0.0834   0.0605   0.544
0.419   0.0795   0.0601   0.555
0.446   0.0751   0.0595   0.563
0.471   0.0706   0.0587   0.568
0.499   0.0654   0.0575   0.567
0.527   0.0600   0.0561   0.563
