J       CT       CP       eta
0.169   0.0993   0.0645   0.261
0.213   0.0955   0.0642   0.317
0.257   0.0908   0.0636   0.367
0.302   0.0861   0.0631   0.411
0.345   0.0808   0.0625   0.446
0.389   0.0750   0.0616   0.475
0.433   0.0690   0.0601   0.496
0.483   0.0611   0.0583   0.506
0.517   0.0560   0.0568   0.510
0.554   0.0497   0.0548   0.503
0.605   0.0400   0.0510   0.475
0.642   0.0328   0.0482   0.437
0.695   0.0206   0.0431   0.332
0.726   0.0126   0.0401   0.228
0.780   -0.0022   0.0339   -0.051
0.824   -0.0139   0.0290   -0.396
0.850   -0.0206   0.0261   -0.669
