J       CT       CP       eta
0.090   0.0974   0.0487   0.179
0.117   0.0967   0.0490   0.232
0.140   0.0886   0.0491   0.252
0.162   0.0868   0.0494   0.285
0.189   0.0842   0.0496   0.321
0.215   0.0812   0.0496   0.352
0.240   0.0775   0.0492   0.379
0.263   0.0700   0.0483   0.381
0.289   0.0662   0.0478   0.400
0.312   0.0626   0.0474   0.413
0.334   0.0598   0.0469   0.426
0.365   0.0550   0.0458   0.438
0.387   0.0517   0.0450   0.444
0.411   0.0482   0.0441   0.448
0.435   0.0445   0.0431   0.449
0.461   0.0397   0.0417   0.440
0.482   0.0361   0.0404   0.431
