J       CT       CP       eta
0.448   0.0835   0.0686   0.546
0.481   0.0787   0.0682   0.554
0.505   0.0748   0.0677   0.558
0.527   0.0716   0.0674   0.560
0.557   0.0666   0.0667   0.557
0.590   0.0605   0.0655   0.545
0.611   0.0571   0.0647   0.539
0.635   0.0526   0.0634   0.527
0.660   0.0474   0.0618   0.507
0.696   0.0388   0.0584   0.463
0.718   0.0333   0.0559   0.428
0.752   0.0237   0.0509   0.351
0.773   0.0178   0.0477   0.289
0.804   0.0085   0.0423   0.162
0.830   0.0008   0.0379   0.018
0.860   -0.0072   0.0333   -0.186
0.885   -0.0139   0.0293   -0.421
0.912   -0.0216   0.0245   -0.803
0.939   -0.0293   0.0196   -1.404
0.969   -0.0375   0.0139   -2.613
