J       CT       CP       eta
0.120   0.1238   0.1021   0.146
0.149   0.1226   0.1012   0.181
0.183   0.1199   0.0994   0.221
0.216   0.1193   0.0982   0.262
0.250   0.1174   0.0970   0.303
0.284   0.1142   0.0962   0.338
0.315   0.1122   0.0958   0.369
0.348   0.1141   0.0938   0.423
0.381   0.1126   0.0926   0.464
0.414   0.1090   0.0920   0.491
0.444   0.1063   0.0921   0.513
0.480   0.1017   0.0915   0.533
0.509   0.0982   0.0913   0.548
0.538   0.0946   0.0911   0.558
0.567   0.0900   0.0903   0.566
0.605   0.0848   0.0898   0.571
0.635   0.0797   0.0891   0.569
