J       CT       CP       eta
0.490   0.0955   0.0791   0.592
0.524   0.0899   0.0783   0.602
0.552   0.0853   0.0776   0.607
0.579   0.0800   0.0763   0.607
0.608   0.0742   0.0746   0.604
0.641   0.0665   0.0718   0.594
0.666   0.0595   0.0685   0.579
0.699   0.0509   0.0644   0.552
0.721   0.0446   0.0610   0.526
0.762   0.0337   0.0552   0.466
0.784   0.0282   0.0522   0.424
0.819   0.0189   0.0471   0.328
0.850   0.0109   0.0427   0.217
0.877   0.0039   0.0388   0.089
0.908   -0.0038   0.0346   -0.099
0.937   -0.0108   0.0308   -0.329
0.965   -0.0183   0.0265   -0.667
0.993   -0.0256   0.0223   -1.142
1.027   -0.0346   0.0171   -2.085
1.052   -0.0418   0.0130   -3.382
1.083   -0.0501   0.0085   -6.358
