J       CT       CP       eta
0.128   0.1360   0.0714   0.243
0.171   0.1300   0.0704   0.316
0.195   0.1266   0.0699   0.352
0.227   0.1215   0.0692   0.399
0.258   0.1165   0.0683   0.440
0.297   0.1086   0.0664   0.486
0.327   0.1024   0.0648   0.516
0.364   0.0940   0.0622   0.550
0.390   0.0882   0.0604   0.569
0.427   0.0788   0.0571   0.589
0.465   0.0692   0.0536   0.600
0.496   0.0613   0.0507   0.600
0.524   0.0534   0.0476   0.589
0.556   0.0449   0.0443   0.564
0.590   0.0355   0.0406   0.516
0.622   0.0264   0.0369   0.444
0.656   0.0162   0.0329   0.323
