J       CT       CP       eta
0.541   0.0766   0.0728   0.569
0.574   0.0680   0.0702   0.555
0.610   0.0565   0.0652   0.529
0.632   0.0503   0.0623   0.510
0.673   0.0394   0.0568   0.466
0.698   0.0329   0.0535   0.429
0.742   0.0245   0.0500   0.364
0.768   0.0160   0.0447   0.275
0.807   0.0070   0.0403   0.141
0.837   -0.0000   0.0367   -0.001
0.874   -0.0087   0.0321   -0.237
0.905   -0.0164   0.0279   -0.530
0.938   -0.0244   0.0235   -0.973
0.967   -0.0315   0.0193   -1.578
1.000   -0.0403   0.0143   -2.823
