J       CT       CP       eta
0.114   0.1018   0.0587   0.198
0.144   0.1004   0.0590   0.246
0.171   0.0995   0.0590   0.289
0.203   0.0981   0.0591   0.337
0.230   0.0947   0.0588   0.370
0.262   0.0921   0.0591   0.409
0.291   0.0894   0.0592   0.439
0.321   0.0861   0.0590   0.469
0.350   0.0828   0.0588   0.492
0.374   0.0799   0.0586   0.510
0.407   0.0757   0.0581   0.531
0.430   0.0723   0.0575   0.540
0.464   0.0668   0.0565   0.549
0.484   0.0632   0.0554   0.551
0.520   0.0574   0.0541   0.552
0.545   0.0532   0.0528   0.549
0.571   0.0485   0.0512   0.541
