RPM    CT       CP
1791   0.1062   0.0795
2075   0.1067   0.0786
2366   0.1079   0.0782
2599   0.1081   0.0774
2886   0.1093   0.0764
3137   0.1107   0.0771
3416   0.1112   0.0763
3685   0.1118   0.0760
3950   0.1123   0.0751
4222   0.1132   0.0743
4494   0.1149   0.0741
4738   0.1150   0.0731
5022   0.1157   0.0726
5280   0.1163   0.0722
5562   0.1178   0.0714
5793   0.1192   0.0709
