J       CT       CP       eta
0.126   0.0954   0.0480   0.251
0.160   0.0910   0.0478   0.304
0.189   0.0869   0.0475   0.346
0.225   0.0819   0.0471   0.391
0.258   0.0757   0.0460   0.424
0.285   0.0710   0.0451   0.449
0.324   0.0629   0.0431   0.473
0.348   0.0578   0.0417   0.483
0.388   0.0486   0.0389   0.486
0.411   0.0435   0.0370   0.482
0.446   0.0350   0.0339   0.459
0.478   0.0271   0.0308   0.420
0.510   0.0192   0.0275   0.356
0.543   0.0112   0.0239   0.253
0.574   0.0037   0.0205   0.104
0.603   -0.0039   0.0170   -0.137
0.638   -0.0121   0.0131   -0.589
