RPM    CT       CP
1954   0.1216   0.0624
2333   0.1236   0.0616
2550   0.1244   0.0613
2892   0.1250   0.0613
3148   0.1259   0.0561
3491   0.1262   0.0598
3776   0.1274   0.0598
4052   0.1269   0.0593
4354   0.1275   0.0595
4642   0.1277   0.0594
4939   0.1275   0.0593
5250   0.1279   0.0593
5532   0.1275   0.0590
5865   0.1279   0.0590
6124   0.1277   0.0588
6388   0.1277   0.0588
