J       CT       CP       eta
0.091   0.0939   0.0403   0.213
0.114   0.0918   0.0406   0.258
0.141   0.0890   0.0408   0.306
0.163   0.0865   0.0410   0.344
0.187   0.0835   0.0412   0.379
0.210   0.0797   0.0409   0.410
0.233   0.0757   0.0405   0.436
0.257   0.0712   0.0398   0.460
0.277   0.0671   0.0390   0.478
0.302   0.0612   0.0374   0.494
0.329   0.0554   0.0360   0.507
0.351   0.0502   0.0343   0.514
0.370   0.0461   0.0333   0.512
0.395   0.0396   0.0307   0.510
0.417   0.0351   0.0292   0.501
0.439   0.0304   0.0275   0.486
0.461   0.0262   0.0260   0.464
