J       CT       CP       eta
0.107   0.1468   0.0821   0.191
0.139   0.1442   0.0822   0.243
0.158   0.1419   0.0820   0.274
0.185   0.1392   0.0819   0.314
0.215   0.1358   0.0819   0.357
0.241   0.1325   0.0817   0.391
0.268   0.1279   0.0809   0.424
0.293   0.1229   0.0799   0.451
0.322   0.1172   0.0786   0.480
0.348   0.1112   0.0768   0.504
0.379   0.1044   0.0747   0.529
0.404   0.0989   0.0732   0.546
0.431   0.0928   0.0712   0.561
0.452   0.0883   0.0699   0.572
0.478   0.0825   0.0680   0.580
0.504   0.0771   0.0663   0.586
0.528   0.0717   0.0645   0.588
