J       CT       CP       eta
0.128   0.0841   0.0386   0.279
0.163   0.0807   0.0389   0.338
0.198   0.0770   0.0390   0.392
0.229   0.0732   0.0389   0.431
0.264   0.0689   0.0387   0.469
0.300   0.0631   0.0381   0.497
0.330   0.0572   0.0367   0.515
0.361   0.0506   0.0351   0.521
0.394   0.0435   0.0330   0.520
0.426   0.0357   0.0304   0.500
0.458   0.0270   0.0272   0.455
0.498   0.0169   0.0234   0.360
0.524   0.0105   0.0209   0.262
0.559   0.0015   0.0171   0.050
0.590   -0.0067   0.0132   -0.298
0.622   -0.0150   0.0090   -1.035
