J       CT       CP       eta
0.122   0.1195   0.0598   0.245
0.157   0.1170   0.0606   0.304
0.187   0.1146   0.0611   0.350
0.218   0.1115   0.0614   0.395
0.252   0.1073   0.0615   0.440
0.289   0.1025   0.0617   0.480
0.322   0.0978   0.0616   0.512
0.356   0.0931   0.0615   0.539
0.388   0.0879   0.0608   0.561
0.421   0.0823   0.0599   0.579
0.453   0.0765   0.0586   0.591
0.484   0.0703   0.0571   0.596
0.522   0.0629   0.0549   0.598
0.555   0.0549   0.0518   0.589
0.585   0.0493   0.0497   0.581
0.616   0.0415   0.0463   0.553
0.657   0.0315   0.0416   0.498
