J       CT       CP       eta
0.174   0.0777   0.0409   0.330
0.218   0.0713   0.0401   0.387
0.263   0.0637   0.0387   0.433
0.307   0.0566   0.0375   0.463
0.355   0.0478   0.0357   0.476
0.405   0.0379   0.0338   0.454
0.458   0.0267   0.0316   0.386
0.497   0.0175   0.0294   0.295
0.547   0.0043   0.0260   0.091
0.596   -0.0079   0.0230   -0.204
0.631   -0.0173   0.0205   -0.530
0.683   -0.0328   0.0164   -1.364
0.725   -0.0468   0.0131   -2.586
0.777   -0.0635   0.0087   -5.654
0.808   -0.0737   0.0061   -9.791
