RPM    CT       CP
2283   0.1383   0.0678
2586   0.1398   0.0676
2834   0.1404   0.0678
3029   0.1420   0.0686
3300   0.1444   0.0703
3540   0.1454   0.0707
3730   0.1462   0.0713
4034   0.1483   0.0725
4280   0.1495   0.0735
4523   0.1506   0.0743
4782   0.1516   0.0751
5015   0.1534   0.0763
5248   0.1545   0.0772
5541   0.1550   0.0778
5759   0.1568   0.0790
5987   0.1575   0.0797
