J       CT       CP       eta
0.366   0.0486   0.0318   0.559
0.390   0.0432   0.0302   0.557
0.407   0.0396   0.0292   0.553
0.431   0.0339   0.0273   0.536
0.451   0.0295   0.0258   0.514
0.471   0.0249   0.0243   0.482
0.495   0.0191   0.0223   0.425
0.515   0.0147   0.0207   0.366
0.542   0.0084   0.0182   0.248
0.560   0.0039   0.0166   0.133
0.585   -0.0019   0.0143   -0.078
0.603   -0.0063   0.0125   -0.304
0.626   -0.0121   0.0102   -0.738
0.650   -0.0177   0.0081   -1.430
0.669   -0.0225   0.0062   -2.428
