J       CT       CP       eta
0.093   0.1038   0.0470   0.206
0.116   0.1000   0.0465   0.248
0.139   0.0954   0.0458   0.290
0.163   0.0905   0.0450   0.328
0.187   0.0852   0.0438   0.364
0.213   0.0801   0.0430   0.398
0.237   0.0743   0.0417   0.423
0.260   0.0693   0.0406   0.444
0.282   0.0637   0.0392   0.458
0.306   0.0579   0.0379   0.467
0.328   0.0522   0.0366   0.468
0.351   0.0466   0.0354   0.462
0.374   0.0403   0.0339   0.444
0.396   0.0341   0.0325   0.415
0.419   0.0278   0.0310   0.375
0.445   0.0208   0.0295   0.314
0.467   0.0143   0.0280   0.239
