J       CT       CP       eta
0.414   0.0850   0.0595   0.591
0.438   0.0814   0.0591   0.603
0.465   0.0764   0.0581   0.612
0.485   0.0733   0.0574   0.619
0.514   0.0675   0.0558   0.623
0.540   0.0628   0.0543   0.623
0.567   0.0569   0.0523   0.617
0.588   0.0528   0.0508   0.611
0.617   0.0458   0.0478   0.591
0.634   0.0420   0.0462   0.577
0.669   0.0335   0.0429   0.523
0.688   0.0295   0.0411   0.494
0.718   0.0226   0.0377   0.431
0.745   0.0161   0.0342   0.350
0.769   0.0095   0.0305   0.240
0.793   0.0024   0.0264   0.073
0.819   -0.0045   0.0223   -0.166
0.846   -0.0116   0.0181   -0.545
0.870   -0.0184   0.0140   -1.143
