J       CT       CP       eta
0.093   0.1039   0.0818   0.119
0.118   0.1029   0.0806   0.151
0.145   0.1022   0.0794   0.187
0.166   0.1017   0.0782   0.216
0.189   0.1013   0.0765   0.251
0.215   0.1032   0.0741   0.300
0.240   0.1077   0.0707   0.365
0.264   0.1076   0.0707   0.401
0.287   0.1064   0.0707   0.431
0.310   0.1049   0.0708   0.460
0.333   0.1032   0.0708   0.485
0.362   0.1008   0.0707   0.516
0.385   0.0991   0.0709   0.538
0.405   0.0973   0.0709   0.556
0.428   0.0955   0.0712   0.575
0.453   0.0929   0.0711   0.593
0.480   0.0900   0.0710   0.609
