J       CT       CP       eta
0.084   0.0573   0.0230   0.210
0.109   0.0549   0.0228   0.262
0.131   0.0523   0.0226   0.303
0.151   0.0500   0.0224   0.336
0.173   0.0471   0.0220   0.370
0.196   0.0441   0.0216   0.400
0.217   0.0413   0.0212   0.423
0.240   0.0378   0.0206   0.441
0.262   0.0346   0.0201   0.451
0.280   0.0317   0.0195   0.455
0.302   0.0278   0.0187   0.450
0.328   0.0233   0.0177   0.432
0.349   0.0196   0.0168   0.408
0.367   0.0162   0.0159   0.374
0.389   0.0120   0.0147   0.318
0.410   0.0078   0.0134   0.238
0.431   0.0035   0.0120   0.124
