J       CT       CP       eta
0.125   0.1066   0.0569   0.234
0.158   0.1023   0.0574   0.281
0.192   0.0979   0.0579   0.324
0.224   0.0933   0.0581   0.360
0.254   0.0889   0.0581   0.388
0.289   0.0832   0.0578   0.416
0.320   0.0777   0.0570   0.436
0.347   0.0725   0.0560   0.449
0.380   0.0658   0.0545   0.460
0.410   0.0606   0.0533   0.466
0.450   0.0533   0.0509   0.471
0.477   0.0482   0.0493   0.466
0.509   0.0422   0.0474   0.453
0.537   0.0371   0.0456   0.437
0.576   0.0292   0.0425   0.396
0.598   0.0251   0.0409   0.367
0.632   0.0181   0.0379   0.301
