J       CT       CP       eta
0.106   0.1023   0.0477   0.227
0.133   0.0971   0.0469   0.275
0.160   0.0922   0.0461   0.319
0.185   0.0871   0.0452   0.358
0.213   0.0812   0.0440   0.394
0.239   0.0757   0.0428   0.424
0.264   0.0702   0.0416   0.446
0.291   0.0643   0.0403   0.464
0.319   0.0578   0.0389   0.475
0.342   0.0519   0.0374   0.475
0.374   0.0443   0.0357   0.463
0.403   0.0365   0.0339   0.434
0.428   0.0300   0.0324   0.396
0.449   0.0241   0.0309   0.350
0.478   0.0162   0.0291   0.267
0.502   0.0093   0.0274   0.170
0.531   0.0010   0.0254   0.021
