J       CT       CP       eta
0.130   0.0996   0.0498   0.259
0.165   0.0969   0.0501   0.318
0.195   0.0943   0.0502   0.367
0.228   0.0903   0.0502   0.410
0.263   0.0851   0.0499   0.449
0.299   0.0787   0.0491   0.479
0.331   0.0725   0.0479   0.500
0.361   0.0662   0.0464   0.515
0.397   0.0592   0.0447   0.526
0.431   0.0517   0.0422   0.528
0.463   0.0448   0.0397   0.523
0.498   0.0371   0.0366   0.504
0.530   0.0305   0.0338   0.478
0.562   0.0243   0.0310   0.440
0.589   0.0191   0.0288   0.392
0.622   0.0126   0.0258   0.305
0.655   0.0058   0.0225   0.169
