J       CT       CP       eta
0.199   0.1159   0.0991   0.232
0.259   0.1131   0.0972   0.301
0.317   0.1096   0.0944   0.368
0.362   0.1079   0.0928   0.421
0.420   0.1047   0.0917   0.479
0.482   0.0986   0.0908   0.523
0.534   0.0921   0.0904   0.544
0.588   0.0847   0.0903   0.552
0.639   0.0728   0.0867   0.536
0.700   0.0525   0.0768   0.479
0.756   0.0371   0.0676   0.415
0.805   0.0260   0.0613   0.341
0.865   0.0125   0.0547   0.198
0.902   0.0041   0.0502   0.074
0.972   -0.0122   0.0409   -0.289
1.002   -0.0192   0.0366   -0.525
1.068   -0.0365   0.0251   -1.554
