RPM    CT       CP
2004   0.1001   0.0424
2300   0.1015   0.0417
2578   0.1018   0.0412
2870   0.1024   0.0407
3157   0.1027   0.0403
3453   0.1037   0.0409
3741   0.1035   0.0402
4002   0.1038   0.0400
4308   0.1035   0.0397
4580   0.1042   0.0399
4879   0.1049   0.0401
5146   0.1047   0.0401
5437   0.1048   0.0400
5723   0.1054   0.0401
6032   0.1052   0.0401
6298   0.1054   0.0401
