RPM    CT       CP
1673   0.0610   0.0332
2085   0.0648   0.0333
2441   0.0673   0.0330
2751   0.0691   0.0325
3032   0.0705   0.0327
3368   0.0728   0.0342
3675   0.0740   0.0334
4000   0.0750   0.0328
4316   0.0773   0.0325
4629   0.0801   0.0320
4949   0.0823   0.0321
5272   0.0837   0.0321
5585   0.0848   0.0322
5924   0.0855   0.0320
6225   0.0863   0.0320
6549   0.0866   0.0319
