J       CT       CP       eta
0.127   0.0501   0.0264   0.241
0.158   0.0468   0.0259   0.286
0.191   0.0432   0.0254   0.325
0.225   0.0387   0.0245   0.355
0.256   0.0344   0.0236   0.373
0.286   0.0299   0.0226   0.379
0.322   0.0240   0.0211   0.367
0.348   0.0199   0.0201   0.346
0.380   0.0144   0.0185   0.295
0.418   0.0081   0.0168   0.200
0.450   0.0023   0.0150   0.070
0.471   -0.0015   0.0137   -0.052
0.506   -0.0082   0.0115   -0.361
0.539   -0.0144   0.0094   -0.827
0.571   -0.0210   0.0072   -1.673
