J       CT       CP       eta
0.172   0.0910   0.0657   0.239
0.219   0.0878   0.0651   0.296
0.264   0.0845   0.0649   0.344
0.309   0.0802   0.0649   0.382
0.353   0.0761   0.0647   0.415
0.396   0.0705   0.0638   0.438
0.454   0.0608   0.0616   0.448
0.496   0.0531   0.0594   0.443
0.545   0.0427   0.0553   0.421
0.592   0.0324   0.0511   0.375
0.624   0.0256   0.0477   0.335
0.681   0.0137   0.0415   0.224
0.733   0.0021   0.0362   0.043
0.765   -0.0044   0.0331   -0.102
0.818   -0.0167   0.0267   -0.512
0.871   -0.0300   0.0190   -1.377
0.893   -0.0350   0.0167   -1.873
