J       CT       CP       eta
0.106   0.1113   0.0853   0.138
0.135   0.1095   0.0841   0.176
0.160   0.1079   0.0827   0.209
0.190   0.1075   0.0812   0.251
0.219   0.1066   0.0805   0.290
0.250   0.1070   0.0794   0.338
0.281   0.1082   0.0783   0.388
0.310   0.1074   0.0781   0.426
0.341   0.1060   0.0782   0.462
0.370   0.1062   0.0797   0.493
0.400   0.1024   0.0791   0.518
0.428   0.0995   0.0791   0.538
0.457   0.0969   0.0799   0.554
0.487   0.0937   0.0799   0.570
0.517   0.0884   0.0792   0.577
0.542   0.0858   0.0793   0.587
0.568   0.0809   0.0782   0.587
