J       CT       CP       eta
0.158   0.0846   0.0458   0.293
0.200   0.0809   0.0459   0.352
0.243   0.0753   0.0456   0.400
0.275   0.0707   0.0451   0.431
0.327   0.0604   0.0430   0.459
0.360   0.0539   0.0411   0.472
0.407   0.0443   0.0379   0.475
0.436   0.0384   0.0357   0.470
0.481   0.0290   0.0319   0.438
0.528   0.0196   0.0279   0.372
0.562   0.0130   0.0249   0.293
0.610   0.0035   0.0205   0.104
0.647   -0.0036   0.0170   -0.136
0.688   -0.0117   0.0131   -0.615
0.729   -0.0203   0.0089   -1.672
