J       CT       CP       eta
0.372   0.0821   0.0540   0.566
0.393   0.0796   0.0540   0.579
0.415   0.0766   0.0538   0.592
0.436   0.0735   0.0533   0.601
0.457   0.0702   0.0529   0.607
0.477   0.0667   0.0521   0.610
0.498   0.0627   0.0511   0.611
0.524   0.0572   0.0495   0.606
0.547   0.0525   0.0478   0.601
0.567   0.0486   0.0465   0.593
0.593   0.0424   0.0439   0.572
0.612   0.0381   0.0419   0.555
0.637   0.0315   0.0389   0.516
0.655   0.0272   0.0369   0.483
0.680   0.0210   0.0338   0.422
0.698   0.0169   0.0317   0.373
0.725   0.0101   0.0279   0.261
0.742   0.0061   0.0257   0.177
0.759   0.0021   0.0234   0.068
0.789   -0.0050   0.0192   -0.206
0.813   -0.0102   0.0160   -0.519
0.831   -0.0144   0.0135   -0.887
0.855   -0.0205   0.0097   -1.812
0.877   -0.0258   0.0062   -3.681
