J       CT       CP       eta
0.088   0.1098   0.0522   0.185
0.105   0.1094   0.0528   0.218
0.129   0.1088   0.0537   0.262
0.152   0.1080   0.0545   0.301
0.172   0.1071   0.0552   0.333
0.196   0.1062   0.0563   0.369
0.219   0.1049   0.0573   0.402
0.242   0.1035   0.0581   0.431
0.263   0.1018   0.0586   0.456
0.285   0.1001   0.0595   0.479
0.306   0.0980   0.0598   0.501
0.328   0.0946   0.0595   0.521
0.349   0.0912   0.0593   0.537
0.369   0.0884   0.0592   0.550
0.389   0.0851   0.0588   0.563
0.409   0.0785   0.0573   0.561
0.434   0.0731   0.0561   0.566
