J       CT       CP       eta
0.106   0.0684   0.0310   0.235
0.133   0.0657   0.0310   0.282
0.162   0.0622   0.0309   0.326
0.185   0.0591   0.0306   0.357
0.216   0.0546   0.0301   0.392
0.242   0.0502   0.0294   0.414
0.269   0.0459   0.0287   0.430
0.292   0.0420   0.0280   0.439
0.320   0.0365   0.0268   0.437
0.353   0.0304   0.0253   0.424
0.376   0.0258   0.0240   0.403
0.400   0.0206   0.0225   0.366
0.423   0.0155   0.0209   0.314
0.454   0.0081   0.0184   0.199
0.478   0.0028   0.0165   0.081
0.507   -0.0042   0.0136   -0.155
0.539   -0.0118   0.0104   -0.613
