J       CT       CP       eta
0.106   0.0688   0.0319   0.227
0.132   0.0643   0.0315   0.270
0.156   0.0609   0.0312   0.305
0.183   0.0571   0.0307   0.340
0.213   0.0527   0.0299   0.375
0.237   0.0487   0.0292   0.396
0.266   0.0441   0.0282   0.415
0.291   0.0400   0.0272   0.428
0.315   0.0360   0.0262   0.433
0.346   0.0313   0.0250   0.432
0.371   0.0270   0.0238   0.420
0.398   0.0224   0.0225   0.396
0.424   0.0181   0.0211   0.363
0.450   0.0136   0.0196   0.311
0.471   0.0096   0.0181   0.249
0.498   0.0045   0.0162   0.139
0.523   -0.0004   0.0143   -0.014
