J       CT       CP       eta
0.108   0.1404   0.0773   0.196
0.132   0.1388   0.0783   0.234
0.161   0.1363   0.0792   0.277
0.187   0.1338   0.0799   0.313
0.212   0.1312   0.0805   0.346
0.242   0.1275   0.0810   0.380
0.269   0.1245   0.0817   0.410
0.295   0.1209   0.0818   0.436
0.323   0.1172   0.0819   0.462
0.349   0.1133   0.0819   0.483
0.372   0.1102   0.0820   0.500
0.399   0.1058   0.0817   0.517
0.426   0.1013   0.0811   0.532
0.452   0.0968   0.0805   0.544
0.478   0.0922   0.0797   0.553
0.504   0.0874   0.0787   0.559
0.529   0.0822   0.0773   0.562
