J       CT       CP       eta
0.169   0.0933   0.0476   0.331
0.195   0.0924   0.0474   0.379
0.229   0.0905   0.0474   0.438
0.255   0.0889   0.0477   0.476
0.285   0.0871   0.0481   0.516
0.314   0.0846   0.0482   0.550
0.341   0.0824   0.0483   0.582
0.372   0.0797   0.0484   0.613
0.400   0.0768   0.0482   0.637
0.428   0.0736   0.0480   0.657
0.453   0.0706   0.0476   0.673
0.479   0.0672   0.0471   0.685
0.508   0.0633   0.0463   0.693
0.533   0.0590   0.0452   0.695
0.567   0.0522   0.0429   0.690
