J       CT       CP       eta
0.073   0.0649   0.0243   0.196
0.095   0.0628   0.0243   0.247
0.115   0.0606   0.0242   0.288
0.135   0.0582   0.0240   0.328
0.157   0.0555   0.0238   0.366
0.177   0.0527   0.0235   0.398
0.200   0.0493   0.0230   0.428
0.221   0.0459   0.0225   0.451
0.241   0.0429   0.0221   0.469
0.265   0.0392   0.0215   0.483
0.285   0.0358   0.0208   0.490
0.307   0.0318   0.0200   0.488
0.327   0.0283   0.0192   0.481
0.350   0.0238   0.0182   0.459
0.369   0.0202   0.0172   0.433
0.393   0.0153   0.0158   0.380
0.411   0.0116   0.0147   0.325
