J       CT       CP       eta
0.130   0.1074   0.0548   0.256
0.166   0.1040   0.0557   0.311
0.198   0.1004   0.0564   0.352
0.230   0.0958   0.0566   0.389
0.262   0.0884   0.0559   0.414
0.296   0.0805   0.0549   0.434
0.329   0.0742   0.0541   0.451
0.360   0.0682   0.0531   0.462
0.386   0.0637   0.0521   0.472
0.422   0.0578   0.0506   0.483
0.453   0.0532   0.0490   0.491
0.486   0.0474   0.0470   0.490
0.518   0.0424   0.0452   0.486
0.553   0.0366   0.0427   0.473
0.591   0.0298   0.0398   0.442
0.612   0.0260   0.0381   0.417
0.648   0.0188   0.0347   0.352
