J       CT       CP       eta
0.438   0.0928   0.0702   0.578
0.465   0.0894   0.0702   0.591
0.490   0.0857   0.0698   0.602
0.516   0.0827   0.0699   0.611
0.542   0.0789   0.0693   0.617
0.572   0.0740   0.0683   0.619
0.601   0.0691   0.0669   0.621
0.626   0.0653   0.0662   0.618
0.651   0.0613   0.0650   0.613
0.681   0.0549   0.0626   0.597
0.703   0.0511   0.0613   0.586
0.736   0.0439   0.0579   0.558
0.755   0.0389   0.0554   0.530
0.789   0.0297   0.0503   0.466
0.815   0.0225   0.0462   0.396
0.841   0.0148   0.0418   0.298
0.866   0.0080   0.0377   0.184
0.895   0.0000   0.0326   0.000
0.920   -0.0072   0.0278   -0.237
0.947   -0.0150   0.0223   -0.638
0.975   -0.0227   0.0168   -1.319
