J       CT       CP       eta
0.106   0.0769   0.0312   0.262
0.134   0.0732   0.0309   0.316
0.158   0.0694   0.0305   0.360
0.184   0.0654   0.0301   0.400
0.211   0.0610   0.0296   0.434
0.238   0.0558   0.0288   0.462
0.264   0.0512   0.0281   0.480
0.292   0.0456   0.0273   0.488
0.316   0.0403   0.0265   0.482
0.345   0.0343   0.0257   0.460
0.370   0.0279   0.0247   0.419
0.398   0.0211   0.0236   0.356
0.419   0.0156   0.0227   0.288
0.446   0.0086   0.0216   0.177
0.473   0.0011   0.0203   0.025
0.497   -0.0058   0.0191   -0.152
0.524   -0.0133   0.0177   -0.392
