J       CT       CP       eta
0.099   0.0804   0.0520   0.153
0.126   0.0769   0.0523   0.184
0.154   0.0734   0.0521   0.217
0.182   0.0702   0.0520   0.246
0.210   0.0667   0.0514   0.273
0.238   0.0632   0.0510   0.295
0.266   0.0589   0.0502   0.312
0.290   0.0557   0.0497   0.325
0.320   0.0513   0.0485   0.338
0.346   0.0471   0.0475   0.344
0.371   0.0432   0.0463   0.346
0.401   0.0386   0.0450   0.343
0.422   0.0351   0.0439   0.338
0.450   0.0305   0.0424   0.323
0.482   0.0250   0.0406   0.297
0.503   0.0213   0.0393   0.273
0.537   0.0153   0.0372   0.221
