J       CT       CP       eta
0.115   0.0829   0.0509   0.187
0.141   0.0808   0.0509   0.225
0.175   0.0776   0.0508   0.268
0.205   0.0746   0.0505   0.302
0.235   0.0712   0.0502   0.333
0.270   0.0671   0.0498   0.364
0.298   0.0632   0.0491   0.384
0.328   0.0588   0.0483   0.400
0.361   0.0537   0.0471   0.412
0.390   0.0492   0.0459   0.418
0.422   0.0435   0.0441   0.416
0.451   0.0383   0.0424   0.407
0.483   0.0319   0.0400   0.385
0.511   0.0268   0.0381   0.359
0.540   0.0212   0.0359   0.318
0.567   0.0159   0.0337   0.267
0.601   0.0090   0.0307   0.177
