J       CT       CP       eta
0.179   0.1184   0.0749   0.283
0.206   0.1162   0.0735   0.326
0.235   0.1154   0.0737   0.368
0.266   0.1142   0.0739   0.411
0.293   0.1116   0.0734   0.446
0.325   0.1118   0.0748   0.486
0.356   0.1099   0.0753   0.519
0.386   0.1080   0.0760   0.548
0.415   0.1055   0.0764   0.573
0.440   0.1031   0.0768   0.591
0.474   0.0993   0.0768   0.613
0.500   0.0961   0.0767   0.627
0.534   0.0918   0.0764   0.641
0.558   0.0886   0.0762   0.649
0.588   0.0834   0.0752   0.652
